平成28年,人口動態調査,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,女　Ｆ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
02116　　　膀胱の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8433,791,680,709,690,660,707,689,703,673,711,720,700
,男　Ｍ．,5793,541,479,482,491,453,465,476,485,472,488,482,479
,女　Ｆ．,2640,250,201,227,199,207,242,213,218,201,223,238,221
02117　　　中枢神経系の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　,総数,2651,212,200,223,218,214,206,214,229,233,249,214,239
,男　Ｍ．,1484,131,104,129,119,116,116,122,132,128,126,118,143
,女　Ｆ．,1167,81,96,94,99,98,90,92,97,105,123,96,96
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,12326,1038,951,1012,995,1085,990,1021,1050,977,1124,1063,1020
,男　Ｍ．,6884,598,557,585,528,607,519,579,613,518,611,602,567
,女　Ｆ．,5442,440,394,427,467,478,471,442,437,459,513,461,453
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8802,740,699,762,759,717,755,717,742,706,771,714,720
,男　Ｍ．,5399,459,425,462,473,450,467,436,485,398,466,427,451
,女　Ｆ．,3403,281,274,300,286,267,288,281,257,308,305,287,269
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物　　　　　　　　,総数,4444,381,369,356,360,364,342,386,363,376,391,396,360
,男　Ｍ．,2241,197,207,186,174,182,169,192,170,176,208,207,173
,女　Ｆ．,2203,184,162,170,186,182,173,194,193,200,183,189,187
02121　　　その他の悪性新生物　　　　　　　　　　　　　　　　　　　　　　　　　,総数,28210,2382,2210,2375,2294,2332,2329,2366,2327,2305,2414,2409,2467
,男　Ｍ．,15684,1314,1212,1380,1244,1326,1319,1309,1265,1298,1322,1329,1366
,女　Ｆ．,12526,1068,998,995,1050,1006,1010,1057,1062,1007,1092,1080,1101
02200　　その他の新生物　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11477,971,927,957,926,930,882,941,944,940,1054,979,1026
,男　Ｍ．,6000,528,457,519,475,492,464,474,492,494,534,538,533
,女　Ｆ．,5477,443,470,438,451,438,418,467,452,446,520,441,493
02201　　　中枢神経系のその他の新生物　　　　　　　　　　　　　　　　　　　　　,総数,2472,233,211,201,209,193,199,212,179,202,216,210,207
,男　Ｍ．,1134,115,100,106,95,84,88,98,73,93,85,97,100
,女　Ｆ．,1338,118,111,95,114,109,111,114,106,109,131,113,107
02202　　　中枢神経系を除くその他の新生物　　　　　　　　　　　　　　　　　　　,総数,9005,738,716,756,717,737,683,729,765,738,838,769,819
,男　Ｍ．,4866,413,357,413,380,408,376,376,419,401,449,441,433
,女　Ｆ．,4139,325,359,343,337,329,307,353,346,337,389,328,386
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,4543,432,387,383,380,354,350,348,354,341,421,402,391
,男　Ｍ．,2003,203,170,176,168,160,141,160,144,154,193,172,162
,女　Ｆ．,2540,229,217,207,212,194,209,188,210,187,228,230,229
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2118,209,178,176,164,152,158,160,164,150,207,205,195
,男　Ｍ．,842,94,63,80,63,59,53,58,64,67,89,78,74
,女　Ｆ．,1276,115,115,96,101,93,105,102,100,83,118,127,121
03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,総数,2425,223,209,207,216,202,192,188,190,191,214,197,196
,男　Ｍ．,1161,109,107,96,105,101,88,102,80,87,104,94,88
,女　Ｆ．,1264,114,102,111,111,101,104,86,110,104,110,103,108
04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,21338,2172,1956,1908,1751,1639,1480,1530,1689,1528,1754,1840,2091
,男　Ｍ．,10738,1124,1003,999,879,811,756,793,845,767,845,887,1029
,女　Ｆ．,10600,1048,953,909,872,828,724,737,844,761,909,953,1062
04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,13483,1380,1257,1212,1156,1068,954,966,1031,924,1102,1149,1284
