平成29年,人口動態統計,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
注：死因簡単分類は、「ICD-10（2013年版）」（平成29年適用）によるものである。分類表「死因簡単分類の新旧比較（平成29年、28年）」を参照されたい。
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
09101　　　高血圧性心疾患及び心腎疾患　　　　　　　　　　　　　　　　　　　　　,総数,5683,691,560,550,473,412,372,368,382,379,409,469,618
,男　Ｍ．,2239,276,226,237,194,150,148,137,137,133,150,193,258
,女　Ｆ．,3444,415,334,313,279,262,224,231,245,246,259,276,360
09102　　　その他の高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,3887,480,356,325,275,273,256,275,299,264,317,327,440
,男　Ｍ．,1677,215,140,144,117,128,121,127,113,112,139,122,199
,女　Ｆ．,2210,265,216,181,158,145,135,148,186,152,178,205,241
09200　　心疾患（高血圧性を除く）　　　　　　　　　　　　　　　　　　　　　　　,総数,204868,23619,19535,19198,16623,15330,13645,14664,14306,13827,15706,17586,20829
,男　Ｍ．,96330,11239,9164,8970,7785,7059,6318,6892,6640,6452,7388,8444,9979
,女　Ｆ．,108538,12380,10371,10228,8838,8271,7327,7772,7666,7375,8318,9142,10850
09201　　　慢性リウマチ性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,2297,252,213,230,194,178,163,193,177,145,168,196,188
,男　Ｍ．,775,90,75,78,63,57,68,72,54,43,62,60,53
,女　Ｆ．,1522,162,138,152,131,121,95,121,123,102,106,136,135
09202　　　急性心筋梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,34956,4459,3365,3175,2783,2540,2188,2415,2402,2263,2642,3123,3601
,男　Ｍ．,19978,2550,1910,1791,1557,1438,1303,1375,1396,1291,1466,1815,2086
,女　Ｆ．,14978,1909,1455,1384,1226,1102,885,1040,1006,972,1176,1308,1515
09203　　　その他の虚血性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,34912,4383,3486,3410,2816,2440,2156,2372,2282,2203,2604,2925,3835
,男　Ｍ．,20504,2505,1949,2015,1664,1416,1293,1436,1348,1313,1583,1713,2269
,女　Ｆ．,14408,1878,1537,1395,1152,1024,863,936,934,890,1021,1212,1566
09204　　　慢性非リウマチ性心内膜疾患　　　　　　　　　　　　　　　　　　　　　,総数,11893,1272,1029,1082,935,944,867,905,854,797,964,1062,1182
,男　Ｍ．,3817,398,346,344,297,279,263,290,295,257,295,377,376
,女　Ｆ．,8076,874,683,738,638,665,604,615,559,540,669,685,806
09205　　　心筋症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,4024,391,362,375,280,340,291,300,339,300,348,331,367
,男　Ｍ．,2282,225,208,217,149,200,172,159,213,173,187,177,202
,女　Ｆ．,1742,166,154,158,131,140,119,141,126,127,161,154,165
09206　　　不整脈及び伝導障害　　　　　　　　　　　　　　　　　　　　　　　　　,総数,30150,3371,2970,2901,2405,2217,1985,2127,2081,2044,2257,2643,3149
,男　Ｍ．,14522,1588,1474,1370,1187,1034,937,1066,967,982,1088,1285,1544
,女　Ｆ．,15628,1783,1496,1531,1218,1183,1048,1061,1114,1062,1169,1358,1605
09207　　　心不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,80830,8845,7517,7483,6742,6256,5615,5954,5744,5707,6279,6788,7900
,男　Ｍ．,31303,3535,2890,2871,2611,2399,2094,2280,2111,2191,2473,2726,3122
,女　Ｆ．,49527,5310,4627,4612,4131,3857,3521,3674,3633,3516,3806,4062,4778
09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,5806,646,593,542,468,415,380,398,427,368,444,518,607
,男　Ｍ．,3149,348,312,284,257,236,188,214,256,202,234,291,327
,女　Ｆ．,2657,298,281,258,211,179,192,184,171,166,210,227,280
09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,109896,11155,9745,9951,9136,8943,7963,7974,8210,8033,9147,9588,10051
,男　Ｍ．,53198,5459,4708,4857,4479,4337,3798,3794,3966,3816,4438,4638,4908
,女　Ｆ．,56698,5696,5037,5094,4657,4606,4165,4180,4244,4217,4709,4950,5143
09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,12310,1222,1096,1123,999,1000,860,875,913,933,1043,1113,1133
,男　Ｍ．,4536,488,374,423,376,342,318,333,350,334,377,384,437
,女　Ｆ．,7774,734,722,700,623,658,542,542,563,599,666,729,696
09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,32659,3332,2883,3126,2669,2643,2276,2274,2315,2275,2785,2975,3106
,男　Ｍ．,17885,1824,1605,1723,1507,1473,1216,1233,1238,1213,1541,1600,1712
,女　Ｆ．,14774,1508,1278,1403,1162,1170,1060,1041,1077,1062,1244,1375,1394
09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,62130,6271,5482,5448,5230,5089,4626,4617,4791,4625,5116,5269,5566
,男　Ｍ．,29499,2997,2593,2598,2487,2437,2162,2136,2282,2189,2424,2543,2651
,女　Ｆ．,32631,3274,2889,2850,2743,2652,2464,2481,2509,2436,2692,2726,2915
09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2797,330,284,254,238,211,201,208,191,200,203,231,246
,男　Ｍ．,1278,150,136,113,109,85,102,92,96,80,96,111,108
,女　Ｆ．,1519,180,148,141,129,126,99,116,95,120,107,120,138
09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,19128,2029,1810,1806,1549,1352,1254,1133,1274,1431,1635,1766,2089
,男　Ｍ．,9725,1024,898,891,798,690,631,595,657,753,866,882,1040
,女　Ｆ．,9403,1005,912,915,751,662,623,538,617,678,769,884,1049
09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,7557,780,665,722,598,617,529,541,570,524,610,630,771
,男　Ｍ．,3401,340,308,342,258,288,235,249,255,251,278,274,323
,女　Ｆ．,4156,440,357,380,340,329,294,292,315,273,332,356,448
10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,189629,20610,17918,17436,15686,14877,13117,13579,13844,13803,15216,16159,17384
,男　Ｍ．,110904,11843,10423,10187,9241,8713,7676,7953,8035,8060,9000,9534,10239
,女　Ｆ．,78725,8767,7495,7249,6445,6164,5441,5626,5809,5743,6216,6625,7145
10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2569,770,871,488,160,58,12,8,7,13,7,28,147
,男　Ｍ．,1202,360,412,236,69,24,4,4,1,5,4,15,68
,女　Ｆ．,1367,410,459,252,91,34,8,4,6,8,3,13,79
10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,96859,10929,9490,9045,8062,7720,6523,6775,6972,6852,7464,8244,8783
,男　Ｍ．,53143,5935,5220,4982,4439,4231,3582,3674,3774,3768,4144,4531,4863
,女　Ｆ．,43716,4994,4270,4063,3623,3489,2941,3101,3198,3084,3320,3713,3920
10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,419,60,34,36,33,35,29,22,23,28,34,43,42
,男　Ｍ．,160,22,11,14,13,14,13,8,14,13,13,13,12
,女　Ｆ．,259,38,23,22,20,21,16,14,9,15,21,30,30
10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,18528,1913,1632,1670,1592,1443,1374,1405,1389,1393,1506,1509,1702
,男　Ｍ．,15270,1547,1324,1369,1332,1203,1110,1171,1139,1144,1259,1270,1402
,女　Ｆ．,3258,366,308,301,260,240,264,234,250,249,247,239,300
10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1794,227,172,153,160,141,109,102,136,149,160,137,148
,男　Ｍ．,641,68,63,40,56,57,35,33,51,60,61,56,61
,女　Ｆ．,1153,159,109,113,104,84,74,69,85,89,99,81,87
10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,69460,6711,5719,6044,5679,5480,5070,5267,5317,5368,6045,6198,6562
,男　Ｍ．,40488,3911,3393,3546,3332,3184,2932,3063,3056,3070,3519,3649,3833
,女　Ｆ．,28972,2800,2326,2498,2347,2296,2138,2204,2261,2298,2526,2549,2729
