令和６年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,7116,575,571,617,571,603,593,600,606,569,620,577,614
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,7116,575,571,617,571,603,593,600,606,569,620,577,614
02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,5116,432,405,417,412,456,401,404,424,423,466,402,474
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,5116,432,405,417,412,456,401,404,424,423,466,402,474
02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,13670,1185,1094,1146,1039,1098,1072,1194,1152,1111,1128,1237,1214
,男　Ｍ．,13670,1185,1094,1146,1039,1098,1072,1194,1152,1111,1128,1237,1214
,女　Ｆ．,・,・,・,・,・,・,・,・,・,・,・,・,・
02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,9725,897,740,832,796,776,768,817,802,805,830,823,839
,男　Ｍ．,6583,633,502,528,506,548,528,543,533,558,566,566,572
,女　Ｆ．,3142,264,238,304,290,228,240,274,269,247,264,257,267
02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,総数,3251,263,256,278,256,276,270,280,279,261,273,265,294
,男　Ｍ．,1784,146,146,141,165,158,147,141,163,135,135,144,163
,女　Ｆ．,1467,117,110,137,91,118,123,139,116,126,138,121,131
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14164,1201,1107,1208,1088,1114,1167,1208,1234,1229,1202,1164,1242
,男　Ｍ．,7839,666,601,702,603,624,658,659,678,661,686,652,649
,女　Ｆ．,6325,535,506,506,485,490,509,549,556,568,516,512,593
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9972,814,799,837,835,825,787,843,848,846,876,809,853
,男　Ｍ．,6077,491,479,516,512,506,467,515,523,503,558,500,507
,女　Ｆ．,3895,323,320,321,323,319,320,328,325,343,318,309,346
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物＜腫瘍＞　　　　,総数,4295,401,342,366,335,359,353,342,346,342,377,333,399
,男　Ｍ．,2253,215,185,199,164,202,162,178,177,175,202,175,219
,女　Ｆ．,2042,186,157,167,171,157,191,164,169,167,175,158,180
02121　　　その他の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,30145,2534,2378,2539,2485,2556,2470,2500,2580,2449,2553,2407,2694
,男　Ｍ．,16549,1433,1287,1393,1338,1427,1418,1368,1413,1316,1408,1288,1460
,女　Ｆ．,13596,1101,1091,1146,1147,1129,1052,1132,1167,1133,1145,1119,1234
02200　　その他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　,総数,13909,1232,1134,1150,1116,1069,1055,1145,1157,1117,1255,1199,1280
,男　Ｍ．,7620,679,598,620,605,601,564,612,647,649,675,673,697
,女　Ｆ．,6289,553,536,530,511,468,491,533,510,468,580,526,583
02201　　　中枢神経系のその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,2553,205,211,203,200,199,217,216,214,205,227,238,218
,男　Ｍ．,1215,110,96,95,103,98,99,97,102,106,99,114,96
,女　Ｆ．,1338,95,115,108,97,101,118,119,112,99,128,124,122
02202　　　中枢神経系を除くその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,11356,1027,923,947,916,870,838,929,943,912,1028,961,1062
,男　Ｍ．,6405,569,502,525,502,503,465,515,545,543,576,559,601
