平成30年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,6800,594,505,579,565,563,519,561,557,596,606,590,565
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,6800,594,505,579,565,563,519,561,557,596,606,590,565
02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,4784,415,355,440,391,426,360,415,386,403,388,418,387
,男　Ｍ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
,女　Ｆ．,4784,415,355,440,391,426,360,415,386,403,388,418,387
02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,12250,1047,1008,1014,944,1012,928,956,1043,1102,1099,993,1104
,男　Ｍ．,12250,1047,1008,1014,944,1012,928,956,1043,1102,1099,993,1104
,女　Ｆ．,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,8635,780,715,692,660,686,723,705,741,678,741,704,810
,男　Ｍ．,5796,515,473,468,452,478,480,460,494,475,472,471,558
,女　Ｆ．,2839,265,242,224,208,208,243,245,247,203,269,233,252
02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,総数,2721,230,219,195,188,241,220,216,245,265,243,236,223
,男　Ｍ．,1545,140,117,114,101,145,148,104,135,149,144,133,115
,女　Ｆ．,1176,90,102,81,87,96,72,112,110,116,99,103,108
02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,12993,1085,986,1075,1095,1086,1043,1088,1094,1127,1136,1080,1098
,男　Ｍ．,7270,609,528,597,621,598,572,608,618,641,617,630,631
,女　Ｆ．,5723,476,458,478,474,488,471,480,476,486,519,450,467
02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,8809,720,704,780,760,674,693,670,736,739,805,764,764
,男　Ｍ．,5270,434,419,476,446,388,413,392,437,428,487,491,459
,女　Ｆ．,3539,286,285,304,314,286,280,278,299,311,318,273,305
02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物＜腫瘍＞　　　　,総数,4281,408,355,370,302,337,312,344,371,359,365,381,377
,男　Ｍ．,2160,200,179,194,147,181,157,163,190,178,189,196,186
,女　Ｆ．,2121,208,176,176,155,156,155,181,181,181,176,185,191
02121　　　その他の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,総数,27438,2375,2129,2417,2244,2245,2140,2343,2296,2272,2341,2289,2347
,男　Ｍ．,15195,1340,1216,1326,1214,1292,1183,1301,1233,1248,1293,1267,1282
,女　Ｆ．,12243,1035,913,1091,1030,953,957,1042,1063,1024,1048,1022,1065
02200　　その他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　,総数,13096,1183,1081,1089,1016,1020,982,1022,1094,1154,1162,1117,1176
,男　Ｍ．,6911,614,569,587,522,506,527,520,578,642,635,590,621
,女　Ｆ．,6185,569,512,502,494,514,455,502,516,512,527,527,555
02201　　　中枢神経系のその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,総数,2641,236,226,217,232,212,185,196,220,234,213,234,236
,男　Ｍ．,1276,107,112,112,114,97,92,83,110,121,102,112,114
,女　Ｆ．,1365,129,114,105,118,115,93,113,110,113,111,122,122
02202　　　中枢神経系を除くその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,10455,947,855,872,784,808,797,826,874,920,949,883,940
,男　Ｍ．,5635,507,457,475,408,409,435,437,468,521,533,478,507
,女　Ｆ．,4820,440,398,397,376,399,362,389,406,399,416,405,433
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,4330,429,374,380,331,343,343,327,331,352,345,368,407
,男　Ｍ．,1929,199,154,158,157,153,151,155,138,161,156,169,178
,女　Ｆ．,2401,230,220,222,174,190,192,172,193,191,189,199,229
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2186,212,195,189,169,159,151,163,172,173,198,206,199
,男　Ｍ．,887,87,79,71,78,70,51,67,61,79,76,84,84
,女　Ｆ．,1299,125,116,118,91,89,100,96,111,94,122,122,115
03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,総数,2144,217,179,191,162,184,192,164,159,179,147,162,208
,男　Ｍ．,1042,112,75,87,79,83,100,88,77,82,80,85,94
,女　Ｆ．,1102,105,104,104,83,101,92,76,82,97,67,77,114
04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,22640,2454,2208,2073,1795,1721,1650,1689,1790,1625,1747,1847,2041
,男　Ｍ．,11757,1279,1165,1089,904,871,824,854,969,845,881,981,1095
,女　Ｆ．,10883,1175,1043,984,891,850,826,835,821,780,866,866,946
